Date,level_0,index,Ticker,Exp_Month,Volume,Settle,Open,Last,Low,High,TTE,Abs_Log_Return,Vol_2,Change_2,Vol_5,Change_5,Vol_10,Change_10,Vol_20,Change_20
2020-10-23,52,52,LCQ1,AUG 21,959,103.2,103.575,103.2,103.125,103.85,0.8412698412698413,0.3385734794131068,0.5272275900575429,0.75,16.580387150840508,2.7749999999999915,11.69600206157227,4.674999999999997,9.304073947487856,5.349999999999994
2020-10-22,53,53,LCQ1,AUG 21,1614,103.55,104.0,103.55,103.025,104.0,0.8452380952380952,0.3855426462428646,2.4395684131661746,0.5750000000000028,15.796968855115125,3.5,11.52213574017496,4.900000000000006,9.272918071519406,5.8500000000000085
2020-10-21,54,54,LCQ1,AUG 21,1276,103.95,104.3,103.95,103.55,104.425,0.8492063492063492,0.1682086182984932,8.67216068983055,0.7999999999999972,15.830083212719236,3.5,11.269582453004622,5.5,9.23391893199553,4.825000000000003
2020-10-20,55,55,LCQ1,AUG 21,2149,104.125,103.025,104.125,102.375,104.475,0.8531746031746031,0.9407860969745663,19.7684295249944,1.8499999999999943,15.31717049698557,3.674999999999997,11.324802813350564,5.174999999999997,9.086783634574642,4.099999999999994
2020-10-19,56,56,LCQ1,AUG 21,2098,103.15,105.675,103.15,102.75,106.025,0.8571428571428571,2.7018977721439796,18.999589843254196,3.8999999999999915,15.388688985560274,3.75,11.723178256847733,6.424999999999997,9.031396603627153,5.8999999999999915
2020-10-16,57,57,LCQ1,AUG 21,889,105.975,107.0,105.975,105.525,107.0,0.8611111111111112,1.009279779699046,7.142662772906444,1.4750000000000085,5.051485253559584,1.9000000000000057,5.1318067764071955,3.2250000000000085,4.762091789970649,3.9000000000000057
2020-10-15,58,58,LCQ1,AUG 21,777,107.05,107.5,107.05,106.9,107.525,0.8650793650793651,0.37296080528284037,0.5360739885445484,0.75,4.2244738254033045,1.4000000000000057,4.492303374976864,2.75,4.494399307736268,2.5
2020-10-14,59,59,LCQ1,AUG 21,1294,107.45,107.65,107.45,107.05,108.175,0.8690476190476191,0.32520353863771945,5.760436890286797,0.5499999999999972,4.189401281600219,2.0,4.801506542310967,2.174999999999997,4.597523651769686,2.325000000000003
2020-10-13,60,60,LCQ1,AUG 21,1375,107.8,107.175,107.8,106.425,108.0,0.873015873015873,0.8383840443897839,0.7806866312361829,0.07500000000000284,5.321097564481329,1.5,5.262924297500843,1.875,4.835914966733481,1.9249999999999972
2020-10-12,61,61,LCQ1,AUG 21,1219,106.9,108.025,106.9,106.625,108.35,0.876984126984127,0.9079331372593202,4.22423035570786,1.5499999999999972,5.742604454612022,2.674999999999997,5.280007069606459,1.8499999999999943,4.722855073942026,3.0749999999999886
2020-10-09,62,62,LCQ1,AUG 21,925,107.875,108.45,107.875,107.35,108.525,0.8809523809523809,0.5316087869291053,4.3356441798950565,1.5750000000000028,4.850478632982208,1.3250000000000028,4.82540478811121,0.6749999999999972,5.255514002071012,0.75
2020-10-08,63,63,LCQ1,AUG 21,1211,108.45,109.525,108.45,108.4,109.675,0.8849206349206349,0.9178586695988145,8.763513018660305,0.8499999999999943,4.872075390878606,1.3499999999999943,5.169033789953924,0.9500000000000028,5.256242505292759,0.25
