Date,level_0,index,Ticker,Exp_Month,Volume,Settle,Open,Last,Low,High,TTE,Abs_Log_Return,Vol_2,Change_2,Vol_5,Change_5,Vol_10,Change_10,Vol_20,Change_20
2021-01-08,0,0,FCX1,NOV 21,6,148.75,148.2,148.75,148.2,148.75,0.8849206349206349,0.151146220730336,8.521740586726336,1.125,9.007347338606861,0.75,7.983121134604346,1.3499999999999943,6.326141442778896,2.6999999999999886
2021-01-07,1,1,FCX1,NOV 21,1,148.975,146.475,148.975,146.475,149.35,0.8888888888888888,0.9103232115516668,6.801889147846973,0.9000000000000057,9.323511614688707,0.8499999999999943,7.741197248832834,0.5500000000000114,6.251410434425249,3.375
2021-01-06,2,2,FCX1,NOV 21,2,147.625,146.475,147.625,146.475,149.35,0.8928571428571429,0.3043627645502589,12.040180918515277,1.5749999999999886,9.291315885636838,1.5250000000000057,7.969623085336578,1.9000000000000057,6.091617157897959,2.2750000000000057
2021-01-05,3,3,FCX1,NOV 21,38,148.075,146.475,148.075,146.475,149.35,0.8968253968253969,1.3769873329278148,0.5686889673437069,0.07499999999998863,9.152188575401356,1.6000000000000227,7.965438486080744,0.42500000000001137,6.2213965004571685,1.549999999999983
2021-01-04,4,4,FCX1,NOV 21,7,146.05,146.225,146.05,146.05,146.225,0.9007936507936508,1.3263244930364237,13.940300564590531,2.0749999999999886,8.500390887437684,3.6499999999999773,6.365804839633835,3.049999999999983,5.243371203790906,0.674999999999983
2020-12-31,5,5,FCX1,NOV 21,10,148.0,147.675,148.0,147.675,148.45,0.9047619047619048,0.0844238125281116,6.7930848140677815,1.1500000000000057,4.204496990824402,2.0999999999999943,4.334250358661309,0.05000000000001137,4.293670631868809,0.025000000000005684
2020-12-30,6,6,FCX1,NOV 21,4,148.125,147.85,148.125,147.85,148.575,0.9087301587301587,0.6895999071361736,3.7965473742111424,1.5500000000000114,3.840588522015787,1.4000000000000057,4.0554703919656045,0.625,4.340450206132117,0.09999999999999432
2020-12-29,7,7,FCX1,NOV 21,3,149.15,149.7,149.15,149.7,149.7,0.9126984126984127,0.35137658506583236,3.7567189457137573,0.549999999999983,2.913076655077027,0.375,3.960051065916624,1.75,4.255335827516985,2.0
2020-12-28,8,8,FCX1,NOV 21,3,149.675,149.7,149.675,149.7,149.7,0.9166666666666666,0.01670146141670159,2.807851129217178,0.42499999999998295,4.52234674452294,1.1750000000000114,4.1592273553050925,2.375,4.255959408083161,3.075000000000017
2020-12-24,9,9,FCX1,NOV 21,3,149.7,149.7,149.7,149.7,149.7,0.9206349206349206,0.26684472138329696,1.3129720792201125,0.17499999999998295,3.9489731759065836,0.5999999999999943,3.8539468914367894,2.8999999999999773,4.091679858386534,3.4499999999999886
2020-12-23,10,10,FCX1,NOV 21,16,150.1,149.4,150.1,149.4,150.25,0.9246031746031746,0.38381357087953205,4.308296647876455,0.5749999999999886,4.563860716411088,2.049999999999983,3.93792571538807,4.049999999999983,4.109156712364794,3.5250000000000057
2020-12-22,11,11,FCX1,NOV 21,6,149.525,149.05,149.525,149.05,149.525,0.9285714285714286,0.0,7.7212595122043055,1.0250000000000057,4.573024831526077,2.0250000000000057,3.9401767241814163,3.9250000000000114,4.11313423088065,3.4000000000000057
2020-12-21,12,12,FCX1,NOV 21,6,149.525,149.05,149.525,149.05,149.525,0.9325396825396826,0.6878644687866142,3.195054927785101,0.42500000000001137,4.175611514289053,2.125,3.5962730520814206,4.175000000000011,7.164782475595283,6.400000000000006
2020-12-18,13,13,FCX1,NOV 21,12,148.5,149.4,148.5,148.275,149.425,0.9365079365079365,0.40322635279386176,3.4066709487359255,0.44999999999998863,4.247011157162172,1.1999999999999886,3.9252891568869264,1.9749999999999943,7.2012730829425875,5.574999999999989
2020-12-17,14,14,FCX1,NOV 21,4,149.1,149.1,149.1,149.1,149.1,0.9404761904761905,0.7067167223092419,3.7550769779736477,1.5999999999999943,4.195714422682324,2.299999999999983,4.0973965807844985,2.375,8.54456552230109,3.674999999999983
